code,caption_text
DCmuFMksBFJ,"Adam and Ali are using TikTok to help families in southern Lebanon find out if their homes are still standing, or have been destroyed.
 
The suburb of Dahieh, a Hezbollah stronghold, has come under heavy fire from the Israel Defense Forces in recent weeks.
 
Tap the link in @BBCNews’s bio to read the latest developments in efforts for a ceasefire between Israel and Hezbollah.
 
#BBCNews"
DCmiORjMgxq,"The shortlist for this year’s ‘video game Oscars’ has been announced.
 
The Game Awards will take place in LA next month and unlike last year, the race for Game of the Year is tight.
 
There’s also a battle between Valve and Riot Games for best esports title, while GTA VI has been nominated for most anticipated game.
 
Tap the link in @BBCNews’s bio to find out more about the choices for Game of the Year.
 
#GameAwards #GTAVI #Gaming #BBCNews"
DCmeDy_si2G,"A bomb cyclone has brought high winds, flooding and snow to more than seven million people in states along the Pacific Ocean.
 
The storm, off the coast of the US north-west and western Canada, has caused widespread power outages for hundreds of thousands of people and its strong winds have downed trees.
 
At least one person - a woman near Seattle - has died.
 
""It's severe out there. Trees are coming down all over the city, with multiple falling onto homes,"" Washington's Bellevue Fire Department said.
 
Tap the link in @BBCNews' bio to find out how bomb cyclones form.
 
(📸 Reuters)
 
#US #Weather #BBCNews"
DCmXA7Asqhw,"A priest who let Sabrina Carpenter film a music video in his church has been stripped of his duties.
 
Monsignor Jamie Gigantiello said it was a “lapse in judgment” to let the singer film parts of her song Feather inside the Our Lady of Mount Carmel Church in Brooklyn.
 
Tap the link in @BBCNews’s bio to read more about his dismissal. 
 
#SabrinaCarpenter #Brooklyn #BBCNews"
DCmOaQjoO8n,"""Gracias, Rafa.""
 
That was the message from Spain as fans paid tribute to tennis legend Rafael Nadal's 23-year career.
 
Nadal played the 1,307th - and final - match of his career in Malaga when Spain lost to the Netherlands in the Davis Cup quarter-finals.
 
The 22-time Grand Slam champion said he would like to be remembered as ""a kid who followed their dreams"" as he bid farewell to the sport.
 
He retires as the second-most successful men's singles player of all time, behind only long-time rival Novak Djokovic.
 
Tap the link in @BBCNews' bio to read what tennis greats had to say about his legacy.
 
(📸 Getty, Reuters)
 
#Tennis #Sports #BBCNews"
DCmFLo7sNAg,"Liam Payne's former bandmates and girlfriend Kate Cassidy were among those who attended his funeral service today in Buckinghamshire.

His former partner Cheryl, with whom he shares a son, was also among the mourners. 
 
The musician died after falling from a third-floor balcony of a hotel in Buenos Aires, Argentina, in October.
 
Girls Aloud singers Kimberley Walsh and Nicola Roberts also attended the service, as did presenters James Corden, Marvin and Rochelle Humes, Scott Mills and Adrian Chiles.
 
Tap the link in @BBCNews's bio to read the tribute at the service.
 
(📷 Getty/ PA/ Reuters)
 
#LiamPayne #OneDirection #BBCNews"
DCl-SbLondA,"US President Joe Biden has agreed to give Ukraine anti-personnel land mines, a US defence official has said.

The official, who was speaking on condition of anonymity, said such mines would be delivered soon and Washington expected that they would be used on Ukraine's territory.

The move is seen as an attempt to slow Russian troops who have been steadily advancing in Ukraine's east in recent months.

One of the key issues with using such weapons, is the extraordinary length of time required once a war is over, to clear land that has been mined.

Tap the link in @BBCNews's bio for the latest reaction to the move.

(📷 Getty, Reuters, EPA)

#Ukraine #US #BBCNews"
DCl5NDfsqXi,"“Sometimes we have the privilege to say goodbye and sometimes we don’t.”
 
Ariana Grande has told the BBC that she channelled her personal feelings of loss when filming Wicked.
 
The singer and actor has suffered personal tragedy in recent years, after the 2017 bombing of her Manchester concert and the death of her ex-boyfriend Mac Miller. 
 
Tap the link in @BBCNews’s bio to read which one script line got director Jon M Chu into the musical. 
 
#WickedMovie #ArianaGrande #BBCNews"
DClsMcDMcvN,"“Water is more precious than gold here.”
 
Ahmad al-Ahmed delivers water everyday as a tanker driver, prioritising schools, orphanages, hospitals, and those most in need.

“People need more water. All they want is for you to give them water,” he added.

Turkish air strikes in drought-struck north-east Syria have cut off access to electricity and water for more than a million people, in what experts say may be a violation of international law.

The Turkish government said it “fully respects international law”.

Tap the link in @BBCNews’s bio to read more on this story.

#Turkey #Syria #BBCNews"
DCkb9XFBjgK,"Glaciers in Pakistan-administered Gilgit Baltistan are melting at an alarming rate, with real-life consequences for people living in the area.
 
Climate change is altering the landscape across Gilgit-Baltistan and neighbouring Chitral, researchers said. 
 
This is just part of an area referred to by some as the Third Pole; a place which has more ice than any other part of the world outside the polar regions.

If current emissions continue, Himalayan glaciers could lose up to two-thirds of their volume by the end of this century, according to the International Centre for Integrated Mountain Development.

Tap the link @BBCNews's bio to find out more stories from the people living in Gilgit Baltistan. 

#Gilgit #Baltistan #BBCNews"
DCkWgXTC0Sa,"“The hīkoi is for all New Zealanders.""
 
More than 40,000 people have protested outside New Zealand’s parliament against a controversial bill.
 
The Treaty Principles bill argues that New Zealand should reinterpret and legally define the principles of the 1840 Treaty of Waitangi, a document seen as fundamental to the country’s race relations.
 
Many critics see it as an attempt to take rights away from Māori people. 
 
Supporters of the change say the treaty no longer reflects a multicultural society.
 
Tap the link in @BBCNews's bio to read what people attending the protest had to say.
 
#Māori #NewZealand #BBCNews"
DCkQ05GCaBW,"Jeremy Clarkson joined protesting farmers in London to speak out about the UK government's proposed changes to inheritance tax.
 
From April 2026, inherited agricultural assets worth more than £1m, which were previously exempt, will be liable to the tax at 20% - half the usual rate.
 
Prime Minister Keir Starmer said he understands farmers' concerns, but has insisted the ""vast majority"" of farms will be unaffected.

Tap the link in @BBCNews's bio for more on the story.
 
#Farmers #InheritanceTax #BBCNews"
DCj4-Z8Mh87,"“Six or seven parents had forced the car to stop.”
 
The third attack on a crowd in China in a week has fuelled concerns about public safety.
 
A car was driven into a crowd of people outside a primary school in China’s souther Hunan province.
 
There are no details of casualties yet but state media said “several students and adults were injured and fell to the ground”, and several people are in hospital.
 
Tap the link in @BBCNews’s bio to find out more about the social phenomenon of “taking revenge on society”."
DCjfzEcM8Xs,"“They are trying to take our rights away.”
 
More than 40,000 people have peacefully protested outside New Zealand’s parliament in support of Māori rights.
 
Demonstrators were opposing a controversial bill seeking to reinterpret the country’s founding document between British colonisers and Māori people.
 
The Treaty Principles bill argues that New Zealand should reinterpret and legally define the principles of the 1840 Treaty of Waitangi, a document seen as fundamental to the country’s race relations.
 
Many critics see it as an attempt to take rights away from Māori people. 
 
But supporters of the change say the treaty no longer reflects a multicultural society.
 
Tap the link in @BBCNews’s bio to read what Prime Minister Christopher Luxon said about the bill.
 
(📸 Getty)
 
#NewZealand #Māori #BBCNews"
DCjPCgasWTO,"Gisèle Pelicot, the victim in the mass rape trial that has shocked France and the world, has been giving her final statement.
 
She said she didn’t have much more to add in her opening remarks other than: “Society at this point needs to look at how we trivialise rape.”
 
Pelicot also spoke of the years she thought she was ill, was her actually feeling the effects of being drugged by her ex-husband.
 
“It felt like a death sentence,” she said.
 
Dominique Pelicot admits drugging his then-wife for almost a decade and recruiting dozens of men online to rape her in their home when she was unconscious.
 
He is on trial with 50 other men in the southern city of Avignon.
 
Pelicot decided to waive her right to anonymity - a decision her legal team has argued would shift the “shame” back to the accused.
 
Tap the link in @BBCNews’s bio to read more of her statement.
 
(📸 Reuters)
 
#GisèlePelicot #France #BBCNews"
DCjDkqqqvjo,"Too early to preempt a white Christmas? 👀❄️
 
Many parts of the UK are experiencing the “first taste of winter” after temperatures plummeted overnight.
 
Motorists and commuters are being warned of possible disruption, and some schools have been shut across the country.
 
There are three yellow warnings in place for snow and ice in northern England, the Midlands, Scotland, north-east Wales and parts of Northern Ireland.
 
Tap the link in @BBCNewsUK’s bio for the latest updates.
 
#Snow #Weather #BBCNews
 
—
📸:
Curly Claire (Nottinghamshire)
Space Walker (Gloucestershire)
Lindsay Barrett (Kirklees)
Ruth Davies (Denbighshire)
Dr R (Birmingham)
Pia (Perth and Kinross)
Mon Flower (Cumbria)
Johann van der Leigh (Sheffield)
Space Walker (Gloucestershire)
Ian W (Lincolnshire)
Sue (Wakefield)
North Wales Ruth (Conwy)
Martin the Gardner (Milton Keynes)
Weather Chaser (Derbyshiire)"
DCiw4LzNrv_,"Nordic countries have released fresh advice on how to prepare and cope in the event of war or other unexpected crises.

The new version of Sweden's pamphlet ""If the crisis or war comes"" will reach letterboxes from Monday.

Tap the link in @BBCNews's bio to read why some people think the pamphlet is ""a bit strange"".

#Sweden #BBCNews"
DCiC8bLz0Qv,"London's South Bank has been transformed into the Emerald City for the European premiere of Wicked.

Ariana Grande, Cynthia Erivo, Michelle Yeoh and Jeff Goldblum were among the cast to brave the rainy weather.

The movie, filmed in the UK, is an adaptation of the stage musical which tells the origin story of the Wicked Witch of the West from The Wizard of Oz.

Tap the link in @BBCNews’s bio to find out who helped Ariana Grande improve her British accent while filming.

(📷: epa, PA)

#London #Wicked #UK #BBCNews"
DCh9ey7swbg,"A sign of roles to come?
 
Ariana Grande has shown off her accent skills after being asked for her best English accent. 
 
The singer and actress braved the rain with co-star Cynthia Erivo for the European premiere of Wicked in London.
 
Ariana said Cynthia, who is from South London, had helped her improve her British accent while filming.
 
Tap the link in @BBCNews’s bio to see the cast on the Emerald carpet. 
 
#Wicked #CynthiaErivo #ArianaGrande #BBCNews"
DCh1cR9MbWn,"Organic and baby carrots sold at stores across the US have been recalled after an E. coli outbreak.
 
One person has died, 15 people are in hospital and 39 cases have been reported across 18 states following the outbreak. 
 
Tap the link in @BBCNews’s bio to read more about its symptoms.
 
#EColi #BBCNews"
DChvcuqs4bz,"Georgia’s election chief was splashed with black paint by an opposition politician after signing a protocol that said pro-Russian party Georgian Dream had won another term.
 
The ruling party won 54% of the vote, but the opposition have claimed that the election was rigged.
 
They have complained that voters were intimidated and ballot papers were transparent - leading to the black dot becoming a protest symbol in the nation.
 
Tap the link in @BBCNews’s bio to read more on the Georgian election.
 
#Georgia #Russia #BBCNews"
DChlqTCsGS5,"“Afghan women live in very dark times now.”
 
A bullet failed to silence her - now Malala Yousafzai is lending her voice to the women of Afghanistan.
 
The Pakistan-born activist, who became the youngest person ever to win a Nobel Peace Prize, has worked on an upcoming film, Bread & Roses, that documents the lives of three Afghan women living under the Taliban regime.
 
In August 2021, the Taliban seized power following the withdrawal of western military forces. Since then, the group has restricted the rights of women and girls to work, learn, and go out in public.

Speaking to BBC Asian Network, Malala said she never imagined that ""the rights of women would be compromised so easily"" in Afghanistan.
 
Tap the link in @BBCNews’s bio to find out which Hollywood actress produced the film.
 
#Malala #Afghanistan #BBCNews"
DChYcA7R3xy,"Actor Michelle Yeoh has said she felt ""like such a failure"" for not having a baby.
 
The 62-year-old said she always wanted to have a family, and her first marriage was partly ""about having children, a next generation"".
 
The Oscar winner had fertility treatment but that was unsuccessful, she told the BBC.
 
""And I think the worst moment to go through is every month you feel like such a failure,"" she said.
 
""You just have to let go and move on. And I think you come to a point where you have to stop blaming you.""
 
Tap the link @BBCNews’s bio to find out how she came to terms with not having children.
 
(📷 Getty)
 
#MichelleYeoh #BBCNews"
DChOoLqsbUv,"“He didn’t deserve to die in the way he did.”
 
The parents of a British teenager who took his own life after becoming a victim of sextortion have made a direct appeal to criminals in Nigeria to stop “terrorising” the vulnerable.

Murray Dowey, from Dunblane, Scotland was only 16 when he ended his life last year. 

He was tricked by criminals in West Africa into sending intimate pictures of himself and then blackmailed.

Tap the link in @BBCNews’s bio to find out more about the investigation into Murray’s death. 

#OnlineSafety #SocialMedia #BBCNews"
DChDqo2sKM8,"President Joe Biden has given the green light for Ukraine to use long-range missiles supplied by the US to strike Russia, officials have said.
 
The move marks a major change in policy for Washington which had previously refused to agree to Kyiv’s requests for authorisation to use the Army Tactical Missile System, which has a range of some 300km (190 miles), outside its own borders.
 
The decision also comes two months before President Joe Biden hands over power to Donald Trump, whose election has raised fears over the future of US support for Kyiv.
 
Russian President Vladimir Putin, who has so far not commented, has previously warned Western nations against such a move, saying it would represent the Nato military alliance’s “direct participation” in the Ukraine war.
 
Tap the link in @BBCNews’s to read the latest reaction on the announcement.
 
(📷 White Sands Missile Range/Getty/Reuters/EPA)
 
#Ukraine #Russia #BBCNews"
DCg3cpcsGLD,"At least 11 people, including two children, were killed by a Russian missile in the northeastern region of Sumy on Sunday night, Ukraine officials said.
 
It follows an attack from Russia on Ukraine’s power grid on Saturday night in what Kyiv said was “massive” with 120 missiles and 90 drones.

Tap the link in @BBCNews’s bio to read the latest on the conflict.

#Ukraine #Russia #BBCNews"
DCgse2bxvXt,"“Your light will continue to shine through the beauty you brought to this world.”
 
The Russian ballet dancer, Vladimir Shklyarov, has died at the age of 39. 
 
Shklyarov was a principal with the prestigious Mariinsky Theatre in Saint Petersburg. 
 
Over 20 years with the company, he danced leads across several productions, including Giselle, Sleeping Beauty, Don Quixote, Swan Lake and Romeo and Juliet.
 
Russian media reports said he fell from a building and that his death is being investigated by the authorities.
 
Tap the link in @BBCNews’s bio to read more about Vladimir Shklyarov’s ballet career.
 
(📷 Getty Images)
 
#Ballet #BBCNews"
DCgeidlKh6O,"Yes, chef. 👨‍🍳
 
Dozens of people descended on a park in Chicago, US, competing to be crowned the best Jeremy Allen White lookalike.
 
Contestants – including a toddler – donned chef’s aprons and white t-shirts in the style of White’s character Carmen Berzatto from the TV series The Bear.
 
Hundreds of spectators cheered as each contender stepped forward to show their resemblance.
 
And based on levels of applause, the accolade went to a 37-year-old mental health therapist, Ben Shabad.
 
“I didn’t really plan on winning – especially when I saw all these guys that looked like Jeremy Allen White,” Shabad told US media.
 
Tap the link in @BBCNews’s bio to find out what prize the winner received.
 
(📷 EPA, PA)
 
#JeremyAllenWhite #Chicago #BBCNews"
DCewq9yR1YB,"Lights could be key to deterring some shark attacks, scientists have said. 
 
A study carried out suggests that fixing LED strip lights to the bottom of surfboards could help prevent attacks by great white sharks. 
 
Great white sharks are thought to be colour blind and sometimes mistake a surfer's silhouette for the outline of a seal.
 
The researchers from Macquarie University in Australia said the lights distorted the silhouette of their ""decoys"" on the ocean's surface and limited the ability of the great whites to see against the sunlight.
 
They added that the lights could prove a non-invasive means of shark restraint - unlike nets or drones. 
 
Tap the link in @BBCNews's bio to find out what else the study revealed about great white sharks. 
 
( 📸 Getty, Macquarie University )
 
#Sharks #BBCNews"
DCeni_gsEMB,"Paul Mescal has said he trained for 45 minutes a day in preparation for Gladiator II.
 
Tap the link in @BBCNews’s bio to watch the full interview on BBC Radio 4’s Front Row.

#PaulMescal #Gladiator #BBCNews"
DCeeeFaMZun,"Lupita and her daughter Mariana search for migrants in distress on both sides of the US-Mexico border. 
 
In 2023, there were more than 2.4 million attempts to cross the border between the two countries, which the United Nations called the world’s deadliest land migration route.
 
One of President-elect Donald Trump’s campaign promises was the mass deportation of migrants.
 
Tap the link in @BBCNews’s bio to read how Trump’s new ‘border tsar’ Tom Homan will approach immigration.
 
#Mexico #DonaldTrump #BBCNews"
DCePmLpxMSE,"Charli XCX has revealed how her parents drove her to raves at the age of 15.
 
""I actually started performing when I was really young, and I played at my first rave when I was 15 years old,"" the singer said on Saturday Night Live (SNL).
 
She went on to joke that she has come ""a long way"" and now considers herself ""a triple threat, which in England means I sing, I drink, and I smoke"".
 
The singer's album Brat inspired a cultural phenomenon in the summer, with many people adopting the ""brat"" way of life.
 
During her SNL appearance, Charli defined exactly what brat means to her.
 
Tap the link in @BBCNews’s bio to find out what she said.
 
(📷 Getty)
 
#CharliXCX #SNL #BBCNews"
DCd_9nSMlvV,"The head of Georgia’s electoral commission, Giorgi Kalandarishvili, was doused during the confirmation of a poll by David Kirtadze, an opposition party official.
 
Kalandarishvili signed a protocol that said pro-Russian party Georgian Dream had won another term, which has triggered days of protests in the capital, Tbilisi. 
 
The pro-western president, Salome Zourabichvili, described the vote as illegitimate, accusing Russia of interference.
 
Tap the link in @BBCNews’s bio to read more about the bill which has raised tensions in the country.
 
#Georgia #Russia #BBCNews"
DCd31zORFnS,"Scientists working on a research ship in the Arctic Ocean think they have discovered a huge underwater volcano under the sea.
 
The crew aboard the Coast Guard Cutter Healy were working on a project to map the seafloor off the coast of Alaska, US, when they found it - 1,600 metres beneath them. 
 
A possible gas plume has been detected rising from it, but the experts have said it's no threat to people.
 
“These findings are exciting and offer insight into what may exist beneath the ocean’s surface, much of which is unknown in this region,” said Captain Meghan McGovern from the National Oceanic and Atmospheric Administration.
 
Tap the link in @BBCNews’s bio to find out more about the discovery.
 
(📷 US Coast Guard, Getty)

#Alaska #ArcticOcean #BBCNews"
DCcLdhqREcE,"The largest coral ever recorded has been found by scientists in the southwest Pacific Ocean.
 
The mega coral is a collection of many connected, tiny creatures that together form one organism rather than a reef. 
 
And it could be more than 300 years old.
 
It was found by a videographer working on a National Geographic ship visiting remote parts of the Pacific to see how it has been affected by climate change.
 
“I went diving in a place where the map said there was a shipwreck and then I saw something,” said Manu San Felix.
 
Seeing the coral, which is in the Solomon Islands, was like seeing a ""cathedral underwater"", he said.
 
""I thought, 'Wow, this was here when Napoleon was alive',"" he added.
 
Tap the link in @BBCNews’s bio to see more pictures of the coral - and find out why the discovery is so exciting.
 
(📷Photograph 1,2,4,5,6 by Manu San Félix, National Geographic Pristine Seas. Photograph 3 by by Steve Spence, National Geographic Pristine Seas)
 
#Coral #BBCNews"
DCb9EZjMeMh,"Out of 78 world leaders in the biggest climate talks of the year’s ‘family picture’, only eight were women.
 
World leaders at COP29 climate talks in Azerbaijan are hoping to agree on a plan to tackle rising global temperatures.
 
Tap the link in @BBCNews’s bio to find out what the talks want to achieve.
 
#COP29 #ClimateChange #BBCNews"
DCbuIYhRfC8,"The smog cloud affecting south Asia is now so big it can be seen from space.
 
Satellite images from Nasa show both the thick layer of smog and the multiple concentrations of fire in the region between the Indian capital, Delhi, and Pakistan’s Lahore.
 
In Lahore, schools are closed, workers have been told to stay home and people urged to stay indoors - part of a so-called “green lockdown”, which has also seen motorbike rickshaws, heavy vehicles and motorbike parking banned from hot spot areas.
 
In neighbouring India, Delhi and northern states annually face smog during the winter due low temperatures, smoke, dust, low wind speeds, vehicle emissions and crop stubble burning.
 
All primary schools in Delhi have now closed until further notice due to worsening air pollution. Non-essential construction has also been banned, and citizens told to avoid burning coal.
 
Tap the link in @BBCNews’s bio to find out how air pollution can affect your health.
 
(📷 Nasa, Getty)
 
#Nasa #AirPollution #BBCNews"
DCbk321M0JW,"“I didn’t know I could make such an impact at this age.”
 
Meet Margret Chola aka Legendary Glamma, a grandmother from rural Zambia who became an accidental style icon - after agreeing to play dress-up and swapping outfits with her granddaughter.
 
The fortnightly Granny Series was created in 2023 by her granddaughter Diana Kaumba, a stylist who is based in New York City.
 
“I wasn’t doing anything at the time, so I just said: ‘OK. If that’s what you want to do let’s do it - why not?’” Ms Chola said.
 
Diana said she hopes the project will show that older people still have a lot to offer - and making memories together is an important way to “leave footprints for the next generation”.
 
“It surprised me to hear that so many people around the world love me,” Ms Chola said.
 
Tap the link in @BBCNews’s bio to read about Ms Chola’s life and see her words of wisdom.
 
(📷 Luxury Media Zambia, Kooma Jnr)
 
#Zambia #BBCNews"
DCbY_ZeMTbT,"The Beaver Moon - the final supermoon of the year - has made a dazzling appearance in skies across the world. 🌝
 
It was not quite as bright as last month’s Hunter’s supermoon, but still provided some stunning photographs.
 
November’s full Moon is likely called the Beaver Moon because beavers are particularly active at this time of year as they prepare for the winter months ahead.
 
Did you catch a glimpse?
 
Tap the link in @BBCNews’s bio to find out when the next supermoon will be visible.
 
(📷 Reuters, Getty)
 
#BeaverMoon #Supermoon #BBCNews"
DCbOtthRhiA,"""I knew he was a good fighter. I knew he was prepared.”
 
That’s what two-time heavyweight champion Mike Tyson said following his defeat by YouTuber-turned-boxer Jake Paul.
 
The controversial bout took place in front of 70,000 fans in Texas - and millions watching on streaming giant Netflix.
 
Mike Tyson received a hero's reception before the fight, but there were huge boos as the fight drew to a close. Some fans even left before judges' scores were announced.
 
“It's just an honour to be able to fight him,” Jake Paul said after the match.
 
Tap the link in @BBCNews’s bio to find out why some fans said the fight was “the worst bout I've ever seen”.
 
(📷 Reuters, USA today sports)
 
#MikeTyson #JakePaul #BBCNews"
DCaFCUtMUOF,"Robert F Kennedy Jr has been nominated by Donald Trump to be the next US health secretary - a post that has caused concern among many public health experts.
 
It is a post that oversees everything from medical research to food safety and public welfare programmes.
 
RFK Jr has long expressed some views that conflict with scientific evidence, especially on vaccines.
 
But he has also adopted positions with popular support, scrutinising the use of food additives and urging that the power of big pharma be curbed.
 
Tap the link in @BBCNews’s bio to read more about RFK Jr’s appointment.
 
#RFKJr #DonaldTrump #BBCNews"
DCZ_CMSMNV6,"“Unfortunately travel is a part of my industry, it’s a part of yours.”

Actor Theo James, who is a UNHCR Goodwill Ambassador, is among thousands of people who have flown to Baku, in Azerbaijan, to attend COP29 climate talks.
 
Between 40,000 and 50,000 delegates are expected to attend the world’s biggest climate talks of the year.

World leaders at the summit are hoping to agree action to help rein in rising global temperatures.
 
Tap the link in @BBCNews’s bio for a simple explainer to the talks.
 
#Climate #COP29 #BBCNews"
DCZ2mVOs_N8,"Delhi in India, and Lahore in Pakistan are experiencing severe levels of air pollution.
 
Smog in both cities is causing health issues for residents, with many experiencing eye irritation and breathing issues.
 
And, while air pollution is expected to decrease in the coming days, it will still remain at an unhealthy level.
 
Tap the link in BBCNews’s bio to find out why things are currently so bad.
 
#AirPollution #BBCNews"
DCZwKvzMOJY,"A man has been caught trying to smuggle hundreds of endangered spiders and insects out of Peru.
 
Tap the link in @BBCNews’s bio to find out how officers spotted the suspicious traveller.
 
#Spiders #Travel #BBCNews"
DCZopnxNkyP,"The United Nations' COP climate talks are ""no longer fit for purpose"", key experts have said.
 
They have called for an urgent overhaul in a letter to the UN, where senior figures said countries should not host the talks if they don’t support the phase out of fossil energy.
 
This week the Azerbaijani president told world leaders gathered in his country for COP29 that natural gas was a “gift from God” and he shouldn’t be blamed for bringing it to market.
 
But the UN’s climate talks have made significant progress in recent years.
 
Tap the link in @BBCNews's bio to find out the reaction to the open letter.
 
(📷 Getty)

#COP29 #BBCNews"
DCZiauYtLSm,"Valencia’s leader has admitted mistakes were made on the day floods overwhelmed his region, but continues to defy calls for resignation.
 
More than 220 people lost their lives when areas of Spain were hit by floods on 29 October, and most of the fatalities were in Mazón's eastern coastal region.
 
Carlos Mazón, Valencia's conservative leader, has been widely criticised for having lunch with a journalist on the day of the floods, rather than focusing on the response to the rapidly developing crisis.
 
Speaking in the regional parliament Les Corts on Friday, Mazón pointed the finger at Spain's Aemet weather agency, as well as the independent authority that looks after water resources.
 
He said Spain had not witnessed such a devastating natural disaster in recent history, saying it was ""as terrifying as it was unprecedented"".
 
Tap the link in @BBCNews’s bio to hear from locals impacted by the floods.
 
(📷 Getty)
 
#Valencia #Floods #BBCNews"
DCZBuxcoPvd,"“It just feels like this chapter in my life is done now.”
 
Hollywood actress Eva Longoria has revealed that her family no longer lives in the United States, and is splitting time between Mexico and Spain.
 
In an interview with Marie Claire, Eva attributed the decision to the country's ""changing vibe"" after the pandemic, homelessness and high taxation in California and, more recently, the re-election of Donald Trump.
 
The Desperate Housewives star has been visibly involved with Democratic candidates at the national and local level since at least 2012.
 
She described being “dispirited” following Trump’s win last week, adding: “If he keeps his promises, it’s going to be a scary place"".
 
Tap the link in @BBCNews’s bio to read more about Eva’s work with the Democratic party.
 
(📷 Getty)
 
#EvaLongoria #USElection #BBCNews"
DCY3WkqqUM9,"""Most consequential election in the last 129 years. Wow, that’s something.”
 
Celebrating his impending return to the White House, Donald Trump has made his first speech since election night at Mar-a-Lago in Florida.
 
Tap the link in @BBCNews’s bio to find out who has joined Trump’s team so far.
 
#DonaldTrump #US #BBCNews"
DCYt6jGt4yJ,"A necklace thought to be linked to a scandal that prompted the downfall of the French queen Marie Antoinette has been sold at auction. 
 
The Georgian piece, which contains about 500 diamonds, was bought for $4.81m (£3.8m) - almost double the amount estimated by Sotheby's auction house.
 
The last queen of France was guillotined in 1793 at the age of 37, along with her husband at the height of the French Revolution.
 
It is believed some of the jewels in the necklace sold on Wednesday were the original ones at the centre of the ""affair of the diamond necklace"" in the 1780s, that may have hastened Marie Antoinette's demise.
 
Tap the link in @BBCNews's bio to find out more about the scandal.
 
(📷 Getty and PA)
 
#MarieAntoinette #BBCNews"
DCXmqbysQiv,"Four people in Los Angeles, California, have been arrested for allegedly using a bear costume to fake insurance claims.
 
They told insurers in January that a bear climbed into a $100,000 Rolls Royce, clawing up the seats and making a mess. 
 
A video was submitted alongside the claim - but drew suspicion from investigators with the California Department of Insurance.
 
“Upon further scrutiny of the video, the investigation determined the bear was actually a person in a bear costume,” the department said in a press release.
 
Tap the link in @bbcnews’s bio to read more about what the depeartment had to say about the incident. 
 
(📸 California Department of Insurance)

#Bear #BBCNews"
DCW-iHpML5-,"A large dust storm - also known as a haboob - has struck central California disrupting traffic and knocking down trees.
 
Dozens were stranded on Highway 99 as high winds reduced visibility and knocked down fences.
 
Tap the link in @BBCNews’s bio to watch footage of a dust tornado spiralling in the United Arab Emirates.
 
#California #BBCNews"
DCWyGBWs3Q7,"A man who sold reconfigured Firesticks to allow people to illegally stream Premier League football matches has been jailed.
 
Jonathan Edge, from Liverpool, England, sold the devices for cash after advertising on Facebook. 
 
The 29-year-old pleaded guilty to three fraud offences after a private prosecution by the Premier League and was jailed for three years and four months.
 
It heard that Edge continued despite warnings by the Premier League to stop.
 
Tap the link in BBCNews’s bio to read what Merseyside Police said about the sentence. 
 
(📸Merseyside Police)
 
#Football #BBCNews"
DCWoBaSMCz_,"New Zealand’s parliament was interrupted on Thursday when Māori MPs performed a haka.
 
The ceremonial dance was performed to disrupt a vote on a controversial bill that proposes to change the way in which a 184-year-old treaty between the British Crown and Māori people is interpreted.
 
Māori MP Hana-Rawhiti Maipi-Clarke ripped up a copy of the bill as she stood to lead the haka in parliament. 
 
Members from her party, Te Pāti Māori, other parties and some in the public gallery joined in.
 
Tap the link in @BBCNews’s bio to read why the bill is so controversial. 
 
#NewZealand #Haka #BBCNews"
DCWgBYkRcDq,"Do you pay extra for iPhone storage? 
 
Apple is facing a legal claim accusing it of effectively locking 40 million British customers into its iCloud service and charging them ""rip off prices"".
 
Consumer group Which? has launched the legal action, and says it could result in a £3bn payout.
 
Users of Apple products get a small amount of digital storage for free – and after that are encouraged to pay for its iCloud service which can cost up to £54.99 a month.

Apple does not allow rival storage services full access to its products. 
 
Tap the link in @BBCNews’s bio to find out how much the average customer could win in the payout if it is successful. 
 
(📷 Getty)
 
#Apple #UK #BBCNews"
DCWHzfcMDVk,"This is the moment a police officer smashed the sunroof of a submerged vehicle to rescue a man trapped inside.
 
The US man told officers that he “accidentally stepped on the gas too hard” before driving the vehicle into a pool.
 
The Phoenix Police Department confirmed no other passengers were inside. 
 
Tap the link in @BBCNews’s bio to read what happened to the man afterwards. 
 
#PoliceRescue #US #BBCNews"
DCU_PCgshL2,"Do you reckon you could take an eight-hour exam?

Students in South Korea are sitting the Suneung college entrance exam and it is seen as one of the hardest tests in the world.

The stakes are pretty high…

It determines university places, jobs and even future relationships.

Tap the link in @BBCNews’s bio to read how some students prepared for the big day.

#Suneung #SouthKorea #BBCNews"
DCU16OtNam1,"The mystery as to why a beluga whale appeared off the coast of Norway wearing a harness may finally have been solved.

The whale, which locals named Hvaldimir, made headlines five years ago amidst speculation that it was a Russian spy.

Now an expert in the species says she believes the whale did indeed belong to the military and escaped from a naval base in the Arctic Circle.

Tap the link in @BBCNews's bio to read what she said.

#Hvaldimir #BBCNews"
DCUr5JHN253,"“Welcome back.”

US President Joe Biden and President-elect Donald Trump have met at the White House.

Biden invited Trump to meet with him as part of a long-standing tradition signifying the transfer of power as the government changes hands.

Tap the link in @BBCNews’s bio to learn more about their meeting.

#USElection #DonaldTrump #JoeBiden #BBCNews"
